Subject,Network Name,Number of Vertices
1003,1003_dATN-B,5986
1003,1003_CG-OP,8879
1003,1003_FPN-B,4762
1003,1003_DN-B,7414
1003,1003_VIS-P,4843
1003,1003_LANG,4465
1003,1003_PM-PPr,1902
1003,1003_FPN-A,5574
1003,1003_dATN-A,5505
1003,1003_SMOT-B,3292
1003,1003_SMOT-A,7422
1003,1003_SAL_PMN,4985
1003,1003_VIS-C,1788
1003,1003_DN-A,4765
1003,1003_AUD,3365
1008,1008_SAL_PMN,3396
1008,1008_dATN-B,2982
1008,1008_SMOT-B,3348
1008,1008_dATN-A,5215
1008,1008_CG-OP,8256
1008,1008_VIS-P,6305
1008,1008_PM-PPr,4132
1008,1008_DN-A,5074
1008,1008_DN-B,8106
1008,1008_FPN-B,4892
1008,1008_SMOT-A,6159
1008,1008_FPN-A,5548
1008,1008_AUD,3877
1008,1008_LANG,5198
1008,1008_VIS-C,2459
